name,year
乙晓光,1958-06-01
丁来杭,1957-09-01
丁学东,1960-02-01
丁薛祥,1962-09-01
于伟国,1955-10-01
于忠福,1956-07-01
万立骏,1957-07-01
习近平,1953-06-01
马飚,1954-08-01
马兴瑞,1959-10-01
王宁,1955-08-01
王军,1958-11-01
王勇,1955-12-01
王晨,1950-12-01
王毅,1953-10-01
王小洪,1957-07-01
王玉普,1956-10-01
王正伟,1957-06-01
王东明,1956-07-01
王东峰,1958-02-01
王尔乘,1955-10-01
王志民,1957-04-01
王志刚,1957-10-01
王沪宁,1955-10-01
王国生,1956-05-01
王建军,1958-06-01
王建武,1958-08-01
王晓东,1960-01-01
王晓晖,1962-01-01
王家胜,1955-01-01
王蒙徽,1960-01-01
尤权,1954-01-01
车俊,1955-07-01
尹力,1962-08-01
巴音朝鲁,1955-10-01
巴特尔,1955-02-01
艾力更·依明巴海,1953-09-01
石泰峰,1956-09-01
布小林,1958-08-01
卢展工,1952-05-01
白春礼,1953-09-01
吉炳轩,1951-11-01
毕井泉,1955-09-01
曲青山,1957-05-01
朱生岭,1957-11-01
刘奇,1957-09-01
刘雷,1957-01-01
刘鹤,1952-01-01
刘士余,1961-11-01
刘万龙,1962-07-01
刘奇葆,1953-01-01
刘国中,1962-07-01
刘国治,1960-11-01
刘金国,1955-04-01
刘结一,1957-12-01
刘振立,1964-08-01
刘家义,1956-08-01
刘赐贵,1955-09-01
刘粤军,1954-09-01
齐扎拉,1958-08-01
安兆庆,1957-05-01
许勤,1961-10-01
许又声,1957-08-01
许达哲,1956-09-01
许其亮,1950-03-01
阮成发,1957-10-01
孙志刚,1954-05-01
孙金龙,1962-01-01
孙绍骋,1960-07-01
孙春兰,1950-05-01
杜家毫,1955-07-01
李屹,1960-02-01
李希,1956-10-01
李斌,1954-10-01
李强,1959-07-01
李干杰,1964-11-01
李小鹏,1959-06-01
李凤彪,1959-10-01
李玉赋,1954-10-01
李传广,1961-03-01
李纪恒,1957-01-01
李克强,1955-07-01
李作成,1953-10-01
李尚福,1958-02-01
李国英,1963-12-01
李桥铭,1961-04-01
李晓红,1959-06-01
李鸿忠,1956-08-01
李锦斌,1958-02-01
杨学军,1963-04-01
杨洁篪,1950-05-01
杨振武,1955-05-01
杨晓渡,1953-10-01
肖捷,1957-06-01
肖亚庆,1959-01-01
吴社洲,1958-01-01
吴英杰,1956-12-01
吴政隆,1964-11-01
邱学强,1957-08-01
何平,1957-11-01
何立峰,1955-02-01
应勇,1957-11-01
魏凤和,1954-02-01
穆虹,1956-12-01
潘立刚,1956-05-01
黎火辉,1963-01-01
雒树刚,1955-05-01
冷溶,1953-08-01
汪洋,1955-03-01
汪永清,1959-09-01
沈金龙,1956-10-01
沈晓明,1963-05-01
沈跃跃,1957-01-01
沈德咏,1954-03-01
怀进鹏,1962-12-01
宋丹,1956-07-01
宋涛,1955-04-01
宋秀岩,1955-10-01
张军,1956-10-01
张又侠,1950-07-01
张升民,1958-02-01
张庆伟,1961-11-01
张庆黎,1951-01-01
张纪南,1957-02-01
张国清,1964-08-01
张春贤,1953-05-01
张晓明,1963-09-01
张裔炯,1955-10-01
陆昊,1967-06-01
陈希,1953-09-01
陈武,1954-11-01
陈豪,1954-02-01
陈文清,1960-01-01
陈吉宁,1964-02-01
陈全国,1955-11-01
陈求发,1954-12-01
陈宝生,1956-05-01
陈润儿,1957-10-01
陈敏尔,1960-09-01
努尔兰·阿不都满金,1962-12-01
苗圩,1955-05-01
苗华,1955-11-01
苟仲文,1957-06-01
范骁骏,1956-11-01
林铎,1956-03-01
尚宏,1960-10-01
金壮龙,1964-03-01
周强,1960-04-01
周亚宁,1957-12-01
郑和,1958-11-01
郑卫平,1955-01-01
郑晓松,1959-09-01
孟祥锋,1964-12-01
赵乐际,1957-03-01
赵克志,1953-12-01
赵宗岐,1955-01-01
郝鹏,1960-07-01
胡和平,1962-10-01
胡泽君,1955-03-01
胡春华,1963-04-01
咸辉,1958-03-01
钟山,1955-10-01
信春鹰,1956-10-01
侯建国,1959-10-01
娄勤俭,1956-12-01
洛桑江村,1957-07-01
骆惠宁,1954-10-01
秦生祥,1957-02-01
袁家军,1962-09-01
袁誉柏,1956-05-01
袁曙宏,1958-07-01
聂辰席,1957-07-01
栗战书,1950-08-01
钱小芊,1955-11-01
铁凝,1957-09-01
倪岳峰,1964-09-01
徐麟,1963-06-01
徐乐江,1959-04-01
徐安祥,1956-04-01
高津,1959-04-01
郭声琨,1954-10-01
郭树清,1956-08-01
唐仁健,1962-08-01
黄明,1957-10-01
黄守宏,1964-06-01
黄坤明,1956-11-01
黄树贤,1954-09-01
曹建明,1955-09-01
龚正,1960-03-01
盛斌,1958-12-01
雪克来提·扎克尔,1953-8-01
鄂竟平,1956-01-01
鹿心社,1956-11-01
谌贻琴,1959-12-01
彭清华,1957-04-01
蒋超良,1957-08-01
韩正,1954-04-01
韩卫国,1956-01-01
韩长赋,1954-10-01
傅政华,1955-03-01
谢伏瞻,1954-08-01
楼阳生,1959-10-01
蔡奇,1955-12-01
蔡名照,1955-06-01